school_name,name,left_over_total,offered,leftover_rate
Annandale Terrace Elementary,Blueberry Bread(1 square),14,645,2.1705426356589146
Annandale Terrace Elementary,String Cheese(1 Stick),26,1564,1.6624040920716114
Annandale Terrace Elementary,Blueberry Muffin Top(Muffin Top),4,242,1.6528925619834711
Annandale Terrace Elementary,"Sandwich, Breakfast. Bagel, Turkey Sausage(Sandwich)",2,149,1.342281879194631
Annandale Terrace Elementary,"Batter, Pumpkin Bread(1oz Grain (1/64 Baked Pan))",8,677,1.1816838995568686
Annandale Terrace Elementary,Egg and American Cheese on Biscuit(Sandwich),1,119,0.8403361344537815
Annandale Terrace Elementary,Applesauce(1/2 Cup),0,172,0.0
Annandale Terrace Elementary,Chilled Mandarin Oranges(1/2 cup (drained)),0,179,0.0
Annandale Terrace Elementary,Chilled Peaches(1/2 cup (drained)),0,61,0.0
Annandale Terrace Elementary,Chilled Pineapple(1/2 cup),0,20,0.0
Annandale Terrace Elementary,Cream Cheese(Each),0,151,0.0
Annandale Terrace Elementary,Egg and American Cheese on Bagel(Sandwich),0,31,0.0
Annandale Terrace Elementary,"Frozen Berry, Triple Berry Blend(1/2 cup (thawed))",0,60,0.0
Annandale Terrace Elementary,IW Applesauce Cup(Each),0,56,0.0
Annandale Terrace Elementary,"Lactose Free, White Milk(Each)",0,62,0.0
Annandale Terrace Elementary,"Milk, Soy, Plain, Bulk (12/32 oz)(1 cup)",0,21,0.0
Annandale Terrace Elementary,Orange Slices(3 slices per 1/4 cup),0,233,0.0
Annandale Terrace Elementary,Whole Strawberries(1/2 cup thawed),0,222,0.0
Armstrong Elementary,Blueberry Chex Cereal(Each),92,168,54.761904761904766
Armstrong Elementary,Fat Free White Milk(Each),381,715,53.28671328671328
Armstrong Elementary,1% White Milk(Each),380,728,52.197802197802204
Armstrong Elementary,Honey Cheerios Cereal(Each),100,212,47.16981132075472
Armstrong Elementary,1% Unflavored Shelf-Stable Milk(Each),56,127,44.09448818897638
Armstrong Elementary,Cream Cheese(Each),30,70,42.857142857142854
Armstrong Elementary,Cinnamon Chex Cereal(Each),98,229,42.79475982532751
Armstrong Elementary,"Cinnamon Toast Crunch Cereal, 25% Less Sugar(Each)",61,154,39.61038961038961
Armstrong Elementary,Orange(6 Slices per 1/2 cup),14,40,35.0
Armstrong Elementary,Blueberry Bread(1 square),5,15,33.33333333333333
Armstrong Elementary,Orange Tangerine Juice(Each),246,785,31.337579617834393
Armstrong Elementary,Natural Grape Jam(Packet),35,116,30.17241379310345
Armstrong Elementary,Mandarin Orange Parfait(Parfait),12,41,29.268292682926827
Armstrong Elementary,Banana(Each),24,89,26.96629213483146
Armstrong Elementary,Red Delicious Apple(Each - serving),71,290,24.482758620689655
Armstrong Elementary,Golden Delicious Apple(Each),20,82,24.390243902439025
Armstrong Elementary,Orange(Each - serving),4,19,21.052631578947366
Armstrong Elementary,Cherry Flavored Dried Cranberries(2 Eaches),1,5,20.0
Armstrong Elementary,Apple Juice(Each),138,831,16.60649819494585
Armstrong Elementary,"Apple Slices(3 slices, 1/4 cup)",4,28,14.285714285714285
Armstrong Elementary,Strawberry Parfait(Parfait),5,36,13.88888888888889
Armstrong Elementary,Mini Maple Pancakes(Package),29,382,7.591623036649215
Armstrong Elementary,Bagel(Bagel),9,135,6.666666666666667
Armstrong Elementary,Natural Breakfast Syrup(Each),16,245,6.530612244897959
Armstrong Elementary,Apple Cinnamon Bread(1oz Grain (1/64 Baked Pan)),2,31,6.451612903225806
Armstrong Elementary,String Cheese(1 Stick),4,178,2.247191011235955
Armstrong Elementary,"Batter, Pumpkin Bread(1oz Grain (1/64 Baked Pan))",0,96,0.0
Armstrong Elementary,Biscuit(Biscuit),0,4,0.0
Armstrong Elementary,Blueberry Bread(1oz Grain (1/64 Baked Pan)),0,68,0.0
Armstrong Elementary,Chicken & Biscuit Sandwich(Sandwich),0,111,0.0
