School_Name,Date,Identifier,Name,Planned,Offered,Served,Discarded,Subtotal,Left Over,Production Cost,Reimbursable,Non-Reimbursable,Total,Reimbursable,Non-Reimbursable,Total,Cost,Total,Percent of Offered,Cost,Total,Percent of Offered,Cost
Annandale Terrace Elementary,5/23/2025,30077,Italian Dressing(1 ounce),46,0,46,48,28,0,28,$2.24,0,0.00%,$0.00,$2.24,20,41.67%,$1.60,$3.84,,,,
Annandale Terrace Elementary,5/23/2025,30097,Bottled Water(Bottle),5,0,5,5,0,0,0,$0.00,0,0.00%,$0.00,$0.00,5,100.00%,$0.00,$0.00,,,,
Annandale Terrace Elementary,5/23/2025,30099,Chickpeas(1/4 cup),46,0,46,66,64,0,64,$5.76,0,0.00%,$0.00,$5.76,2,3.03%,$0.18,$5.94,,,,
Annandale Terrace Elementary,5/23/2025,30107,Ranch Dressing(1 ounce),45,0,45,48,43,0,43,$4.73,0,0.00%,$0.00,$4.73,5,10.42%,$0.55,$5.28,,,,
Annandale Terrace Elementary,5/23/2025,30109,Smartfood RF White Cheddar Popcorn(Each),0,0,0,15,11,0,11,$4.07,0,0.00%,$0.00,$4.07,4,26.67%,$1.48,$5.55,,,,
Annandale Terrace Elementary,5/23/2025,30188,"Milk, Soy, Plain, Bulk (12/32 oz)(1 cup)",0,0,0,1,1,0,1,$0.79,0,0.00%,$0.00,$0.79,0,0.00%,$0.00,$0.79,,,,
Annandale Terrace Elementary,5/23/2025,60035,PB&J Power Pack(Power Packs),56,0,56,25,21,0,21,$22.68,0,0.00%,$0.00,$22.68,4,16.00%,$4.32,$27.00,,,,
Annandale Terrace Elementary,5/23/2025,60036,Cherry Vanilla Yogurt Power Pack(Power Packs),75,0,75,39,31,0,31,$24.80,0,0.00%,$0.00,$24.80,8,20.51%,$6.40,$31.20,,,,
Annandale Terrace Elementary,5/23/2025,60041,Turkey Pepperoni Pizza(Slice),188,0,188,216,203,1,204,$138.72,1,0.46%,$0.68,$139.40,11,5.09%,$7.48,$146.88,,,,
Annandale Terrace Elementary,5/23/2025,60077,Manager's Vegetable Choice(1/2 cup),91,0,91,96,96,0,96,$0.00,0,0.00%,$0.00,$0.00,0,0.00%,$0.00,$0.00,,,,
Annandale Terrace Elementary,5/23/2025,60080,Cheese Pizza(Slice),246,0,246,281,270,8,278,$158.46,1,0.36%,$0.57,$159.03,2,0.71%,$1.14,$160.17,,,,
Annandale Terrace Elementary,5/23/2025,60101,Chickpeas - salad bar entree(1/2 cup),0,0,0,5,0,0,0,$0.00,0,0.00%,$0.00,$0.00,5,100.00%,$0.00,$0.00,,,,
