school,meal_type,food_item,recommended_quantity
belle view elementary,Breakfast,"Sandwich, Breakfast. Bagel, Turkey Sausage (Sandwich)",1
belle view elementary,Breakfast,Strawberry Parfait (Parfait),1
belle view elementary,Breakfast,Turkey Sausage Breakfast Biscuit (Sandwich),1
belvedere elementary,Breakfast,Apple Juice (Each),98
belvedere elementary,Breakfast,Orange Tangerine Juice (Each),53
belvedere elementary,Breakfast,Mini Maple Pancakes (Package),45
belvedere elementary,Breakfast,1% White Milk (Each),44
belvedere elementary,Breakfast,Bagel (Bagel),21
belvedere elementary,Breakfast,Cream Cheese (Each),16
belvedere elementary,Breakfast,Honey Cheerios Cereal (Each),16
belvedere elementary,Breakfast,Red Delicious Apple (Each - serving),16
