name,left_over_total,offered_reimbursable,leftover_rate
"Canned Pineapple, Tidbits (1/2 cup (drained))",1,39,2.564102564102564
"Dough, Cookie, Double Chocolate, WG (1/2 Cookie)",80,3141,2.5469595670168736
"Sandwich, Turkey & Cheese on Sub Roll (sandwich)",17,692,2.4566473988439306
BBQ Sandwich (Sandwich),6,252,2.380952380952381
"Apple Slices (6 Slices, 1/2 cup)",36,1555,2.315112540192926
"Frozen, Blueberries (1/2 cup)",53,2331,2.273702273702274
Whole Wheat Sliced Bread (Slice),11,484,2.272727272727273
Chicken Tenders Sub (Sandwich),35,1562,2.240717029449424
"Pasta, Lasagna Roll-Up, Cheese (Each)",14,626,2.2364217252396164
Pumpkin Bread (1 square),20,1002,1.996007984031936
Nachos with Cheese Sauce (serving size),15,753,1.9920318725099602
Fresh Whole Pear (Each),85,4303,1.9753660237043922
Korean BBQ Chickenless Bites (4 bites),11,557,1.9748653500897666
Chicken Philly Sandwich (each),19,1014,1.8737672583826428
Nachos w/Shredded Chicken and Cheese Sauce (Serving Size),8,481,1.6632016632016633
Turkey Barbacoa (#10 scoop),2,121,1.6528925619834711
Tikka Masala Sauce (ounce),5,303,1.65016501650165
Apple Cinnamon Bread (Grain for entree) (1 square),40,2430,1.646090534979424
Assorted Whole Fruit (Piece of Fruit),7,451,1.5521064301552108
"Chicken, Shredded, Fully Cooked (1/2 cup)",2,136,1.4705882352941175
"Lettuce, Green Salad Mix (1 cup)",15,1133,1.323918799646955
IW Applesauce Cup (Each),244,19679,1.2399004014431627
Graham Crackers (Package),223,18814,1.1852875518231105
Steamed Baby Carrots (1/2 cup),152,12911,1.1772906823638758
"CLPP, Cucumbers (1 cup)",1,90,1.1111111111111112
Cucumber Slices (1/2 cup),13,1202,1.0815307820299502
"Cheese, Shredded, Mozzarella (1/4 cup)",4,416,0.9615384615384616
"Milk, Soy, Plain, Bulk (12/32 oz) (1 cup)",3,324,0.9259259259259258
Pineapple Pepper Fruit Salsa (1 TBSP),9,1209,0.7444168734491315
"Bread, Hamburger Bun (Bun)",3,477,0.628930817610063
"Cheese, String, Mozzarella, Low-Fat IW (SUBSTITUTION) (1 Stick)",1,169,0.591715976331361
Tortilla Chips (13 chips),2,476,0.42016806722689076
Maple Belgian Waffle (Waffle),3,1138,0.26362038664323373
"Frozen Berry, Triple Berry Blend (1/4 cup (thawed))",2,1068,0.18726591760299627
Gatorade Zero Glacier Freeze (Each),0,24,0.0
Powerade Fruit Punch Zero (Each),0,24,0.0
Turkey & Cheese & Cracker Power Pack (wrap),0,189,0.0
Fish Filet Potato Encrusted (each),0,234,0.0
"Carrots, Slims Bulk (Sub For Receiving Only) (3 baby carrots per 1/4 cup)",0,237,0.0
Turkey Barbacoa (1/2 Cup),0,1,0.0
Applesauce (3/4 cup),0,37,0.0
"Chicken, Drumstick, Roasted (Each Drumstick)",0,175,0.0
"Chicken, Diced (1/2 cup)",0,6,0.0
Cheese Sandwich (sandwich),0,80,0.0
Powerade Mixed Berry Zero (Each),0,138,0.0
Turkey Sausage Breakfast Biscuit (Sandwich),0,40,0.0
"IZZE, Strawberry (each)",0,36,0.0
Vanilla Sugar Cookie (Cookie),0,53,0.0
Chicken & Biscuit Sandwich (Sandwich),0,63,0.0
Vanilla Yogurt (1/2 cup),0,7,0.0
"Cheese, American, Sliced (3 slices)",0,2,0.0
"Tortilla Chips, Reduced Fat Tostitos, IW (Each)",0,30,0.0
Apple Slices (3/4 cup),0,100,0.0
"IZZE, Apple (each)",0,61,0.0
"Wrap, Breaded Chicken (Wrap)",0,51,0.0
"Waffle (Grain), Belgian, Buttery Maple, Bulk (Waffle)",0,549,0.0
Apple Cinnamon Spread (Each),0,2337,0.0
"Pasta, Penne (Prepared) (1/2 cup cooked)",0,138,0.0
"Pasta, Macaroni (1 cup cooked)",0,45,0.0
Hard Boiled Eggs (Each),0,21,0.0
Cherry Coke 24/12oz (Each),0,6,0.0
Carrot and Celery Sticks (1/4 cup),0,24,0.0
Blueberry Muffin Top (Muffin Top),0,128,0.0
Tortilla Chips (26 chips),0,1,0.0
Cinnamon Chex Cereal (Each),0,12,0.0
Soft Beef Taco on Flour Tortilla (Taco),0,429,0.0
Black Bean and Corn Salad (1/2 cup),0,145,0.0
Sprite 24/12oz (Each),0,12,0.0
Shredded Chicken Wrap (Wrap),0,106,0.0
Peach Parfait (Parfait),0,5,0.0
Beef Meatballs (Serving),0,356,0.0
Cucumber Slices (3/4 cup),0,326,0.0
Bean Salad (SUMMER) (1 cup),0,200,0.0
Coke Classic 24/12oz (Each),0,18,0.0
"Bar, Lemon Blueberry (Each)",0,2,0.0
Diet Coke 24/12oz (Each),0,12,0.0
Strawberry Parfait Power Pack w/Egg (Power Pack),0,36,0.0
"Cinnamon Toast Crunch Cereal, 25% Less Sugar (Each)",0,20,0.0
"Sandwich, Breakfast. Bagel, Turkey Sausage (Sandwich)",0,33,0.0
"Salsa, Mild Canned (1/4 cup)",0,104,0.0
Blueberry Chex Cereal (Each),0,18,0.0
Egg and American Cheese on Bagel (Sandwich),0,24,0.0
Make Your Own Nachos (Nacho Kit),0,17,0.0
Broccoli Florets (Cup),0,288,0.0
"CLPP, Broccoli Crowns (1/2 cup)",0,30,0.0
"CLPP, Grape Tomatoes (1/4 cup)",0,144,0.0
Taco Flavored Hummus (each),0,4,0.0
Oat Milk (Each),0,4,0.0
"Tacos, Taco Meat, Flour Tortilla (2 Tacos)",0,70,0.0
Red Seedless Grapes (24 grapes per 3/4 cup),0,184,0.0
Assorted Cereal (Cereal Cup),0,269,0.0
Chickenless Bites Wrap (Wrap),0,12,0.0
Egg and American Cheese on Biscuit (Sandwich),0,62,0.0
"Egg, Hard Boiled, Bulk pouch (Each)",0,24,0.0
Orange Slices (9 slices per 3/4 cup),0,306,0.0
"IZZE, Blackberry (each)",0,35,0.0
