name,discarded_total
Smartfood RF White Cheddar Popcorn (Each),214.85999999999999
Whole Strawberries (1/2 cup thawed),221.73
Apple Juice (Each),226.42000000000002
"Peppers, Red, Whole (2 Tablespoons)",228.85
Roasted Plantains (6 Slices),229.9
Chilled Mandarin Oranges (1/4 cup (drained)),230.43
Turkey Pepperoni Pizza (1.37 oz),239.69
Sweet Thai Chili Chicken Wings (3 Wings),243.25
Tomato & Basil Lasagna (Each),244.58999999999997
Strawberry & Banana Yogurt Power Pack (Power Packs),245.4
Cucumbers (1/2 cup sliced),253.9
Cherry Vanilla Yogurt Power Pack (Power Packs),264.48
Arepa w/Taco Beef (1 Aprea + #8 scoop of beef),270.95
"Bread, Loco (1/2 piece)",271.97
Red Seedless Grapes (8 grapes per 1/4 cup),276.03
Lettuce Blend Salad Mix (1 cup),276.43
Orange Chicken (4 Bites w/ 1oz sauce),287.01
Chicken Quesadilla (quesadilla),288.26
Pasta with Meat Sauce (serving),288.57
Chicken Philly Sandwich (each),301.49
RF Kettle Chips Jalapeno & Cheddar Chips (Each),312.79
Baby Carrots (6 Baby Carrots per 1/2 cup),321.24
"Milk, Lactose Free,  Fat Free, Shelf-Stable (Each)",322.19
Fat Free Chocolate Milk (Each),325.35
Cheez-Its Crackers (Package),331.36
Corn (1/2 cup (cooked)),337.53000000000003
Orange Tangerine Juice (Each),349.24
Creamy Cabbage Slaw (1/4 cup),349.65
Fish  Sandwich (Sandwich),356.56
Black Beans (2 Tablespoons),357.53
Cheeseburger (Sandwich),364.04
Chicken Tikka Masala (1/2 cup),368.74
Red Seedless Grapes (16 grapes per 1/2 cup),370.68
Chilled Mandarin Oranges (1/2 cup (drained)),380.11
"WG 10"" Flour Tortilla (Tortilla)",382.18
PB&J Power Pack (Power Packs),390.45
Whole Wheat Dinner Roll (2 rolls),411.85
Marinara Sauce (1/2 cup),423.17
"Penne Pasta with Marinara and Beef Meatballs (cup cooked pasta, 1/2c sauce, 5 meatballs)",427.81
