school_name,date,identifier,name,planned_reimbursable,planned_non-reimbursable,planned_total,offered_reimbursable,offered_non-reimbursable,offered_total,served_reimbursable,served_non-reimbursable,served_total,discarded_total,discarded_cost,subtotal_cost,left_over_total,left_over_percent_of_offered,left_over_cost,production_cost_total,Calories,Total Fat (g),Saturated Fat (g),Cholesterol (mg),Sodium (mg),Carbohydrate (g),Dietary Fiber (g),Total Sugars (g),Added Sugars (g),Protein (g),Vitamin A (IU),Vitamin C (mg),Vitamin D (D2 + D3) (mcg),Calcium (mg),Iron (mg),Potassium (mg),Category,Sub-Category,Served
annandale high,2025-05-22,20001,1% White Milk (Each),75,0,75,88,86,0,86,30.96,0,0.0,0.0,30.96,2.0,2.27,0.72,31.68,110,3,2,10,125,13,0,12,0,8,150,0,3,300,0,410,Sides,Milk,Lunch
annandale high,2025-05-22,20038,Fat Free White Milk (Each),75,0,75,88,61,0,61,20.13,0,0.0,0.0,20.13,27.0,30.68,8.91,29.04,90,0,0,5,130,13,0,12,0,9,160,0,3,310,0,410,Sides,Milk,Lunch
annandale high,2025-05-23,20001,1% White Milk (Each),75,0,75,77,74,0,74,26.64,0,0.0,0.0,26.64,3.0,3.9,1.08,27.72,110,3,2,10,125,13,0,12,0,8,150,0,3,300,0,410,Sides,Milk,Lunch
annandale high,2025-05-23,20038,Fat Free White Milk (Each),75,0,75,107,94,0,94,31.02,0,0.0,0.0,31.02,13.0,12.15,4.29,35.31,90,0,0,5,130,13,0,12,0,9,160,0,3,310,0,410,Sides,Milk,Lunch
annandale high,2025-05-27,20001,1% White Milk (Each),77,0,77,136,135,0,135,48.6,0,0.0,0.0,48.6,1.0,0.74,0.36,48.96,110,3,2,10,125,13,0,12,0,8,150,0,3,300,0,410,Sides,Milk,Lunch
annandale high,2025-05-27,20038,Fat Free White Milk (Each),78,0,78,41,40,0,40,13.2,0,0.0,0.0,13.2,1.0,2.44,0.33,13.53,90,0,0,5,130,13,0,12,0,9,160,0,3,310,0,410,Sides,Milk,Lunch
annandale high,2025-05-28,20001,1% White Milk (Each),75,0,75,69,63,0,63,22.68,0,0.0,0.0,22.68,6.0,8.7,2.16,24.84,110,3,2,10,125,13,0,12,0,8,150,0,3,300,0,410,Sides,Milk,Lunch
annandale high,2025-05-28,20038,Fat Free White Milk (Each),75,0,75,82,72,0,72,23.76,0,0.0,0.0,23.76,10.0,12.2,3.3,27.06,90,0,0,5,130,13,0,12,0,9,160,0,3,310,0,410,Sides,Milk,Lunch
annandale high,2025-05-29,20001,1% White Milk (Each),75,0,75,89,78,0,78,28.08,0,0.0,0.0,28.08,11.0,12.36,3.96,32.04,110,3,2,10,125,13,0,12,0,8,150,0,3,300,0,410,Sides,Milk,Lunch
annandale high,2025-05-29,20038,Fat Free White Milk (Each),75,0,75,83,56,0,56,18.48,0,0.0,0.0,18.48,27.0,32.53,8.91,27.39,90,0,0,5,130,13,0,12,0,9,160,0,3,310,0,410,Sides,Milk,Lunch
annandale high,2025-05-30,20001,1% White Milk (Each),75,0,75,90,76,0,76,27.36,0,0.0,0.0,27.36,14.0,15.56,5.04,32.4,110,3,2,10,125,13,0,12,0,8,150,0,3,300,0,410,Sides,Milk,Lunch
annandale high,2025-05-30,20038,Fat Free White Milk (Each),75,0,75,110,107,0,107,35.31,0,0.0,0.0,35.31,3.0,2.73,0.99,36.3,90,0,0,5,130,13,0,12,0,9,160,0,3,310,0,410,Sides,Milk,Lunch
annandale terrace elementary,2025-05-01,20001,1% White Milk (Each),135,0,135,108,103,0,103,37.08,0,0.0,0.0,37.08,5.0,4.63,1.8,38.88,110,3,2,10,125,13,0,12,0,8,150,0,3,300,0,410,Sides,Milk,Lunch
annandale terrace elementary,2025-05-01,20038,Fat Free White Milk (Each),29,0,29,30,28,0,28,9.24,0,0.0,0.0,9.24,2.0,6.67,0.66,9.9,90,0,0,5,130,13,0,12,0,9,160,0,3,310,0,410,Sides,Milk,Lunch
annandale terrace elementary,2025-05-01,20043,"Lactose Free, White Milk (Each)",0,0,0,3,3,0,3,1.74,0,0.0,0.0,1.74,0.0,0.0,0.0,1.74,90,0,0,5,130,13,0,12,0,9,155,0,2,312,0,331,Sides,Milk,Lunch
annandale terrace elementary,2025-05-01,30188,"Milk, Soy, Plain, Bulk (12/32 oz) (1 cup)",0,0,0,1,1,0,1,0.79,0,0.0,0.0,0.79,0.0,0.0,0.0,0.79,140,6,1,0,130,13,1,9,5,10,150,0,3,340,3,510,Sides,Milk,Breakfast
annandale terrace elementary,2025-05-02,20001,1% White Milk (Each),132,0,132,123,116,0,116,41.76,0,0.0,0.0,41.76,7.0,5.69,2.52,44.28,110,3,2,10,125,13,0,12,0,8,150,0,3,300,0,410,Sides,Milk,Lunch
annandale terrace elementary,2025-05-02,20038,Fat Free White Milk (Each),28,0,28,25,22,0,22,7.26,0,0.0,0.0,7.26,3.0,12.0,0.99,8.25,90,0,0,5,130,13,0,12,0,9,160,0,3,310,0,410,Sides,Milk,Lunch
annandale terrace elementary,2025-05-02,20043,"Lactose Free, White Milk (Each)",0,0,0,3,3,0,3,1.74,0,0.0,0.0,1.74,0.0,0.0,0.0,1.74,90,0,0,5,130,13,0,12,0,9,155,0,2,312,0,331,Sides,Milk,Lunch
annandale terrace elementary,2025-05-02,30188,"Milk, Soy, Plain, Bulk (12/32 oz) (1 cup)",0,0,0,1,1,0,1,0.79,0,0.0,0.0,0.79,0.0,0.0,0.0,0.79,140,6,1,0,130,13,1,9,5,10,150,0,3,340,3,510,Sides,Milk,Breakfast
annandale terrace elementary,2025-05-05,20001,1% White Milk (Each),102,0,102,81,78,0,78,28.08,0,0.0,0.0,28.08,3.0,3.7,1.08,29.16,110,3,2,10,125,13,0,12,0,8,150,0,3,300,0,410,Sides,Milk,Lunch
