school_name,date,identifier,name,planned_reimbursable,planned_non-reimbursable,planned_total,offered,served_reimbursable,served_non-reimbursable,served_total,served_cost,discarded_total,discarded_percent_of_offered,discarded_cost,subtotal_cost,left_over_total,left_over_percent_of_offered,left_over_cost,production_cost_total,Calories,Total Fat (g),Saturated Fat (g),Cholesterol (mg),Sodium (mg),Carbohydrate (g),Dietary Fiber (g),Total Sugars (g),Added Sugars (g),Protein (g),Vitamin A (IU),Vitamin C (mg),Vitamin D (D2 + D3) (mcg),Calcium (mg),Iron (mg),Potassium (mg),Category,Sub-Category,Served
Annandale High,5/01/2025,20001,1% White Milk (Each),100,0,100,105,76,0,76,$27.36,1,0.95%,$0.36,$27.72,28,26.67%,$10.08,$37.80,110.0,3.0,2.0,10.0,125.0,13.0,0.0,12.0,0.0,8.0,150.0,0.0,3.0,300.0,0.0,410.0,Sides,Milk,Lunch
Annandale High,5/01/2025,20002,Fat Free Chocolate Milk (Each),600,0,600,700,614,13,627,$219.45,2,0.29%,$0.70,$220.15,71,10.14%,$24.85,$245.00,130.0,0.0,0.0,5.0,249.0,22.0,0.0,20.0,8.0,9.0,163.0,0.0,3.0,325.0,0.0,456.0,Sides,Milk,Lunch
Annandale High,5/01/2025,20038,Fat Free White Milk (Each),75,0,75,93,55,0,55,$18.15,2,2.15%,$0.66,$18.81,36,38.71%,$11.88,$30.69,90.0,0.0,0.0,5.0,130.0,13.0,0.0,12.0,0.0,9.0,160.0,0.0,3.0,310.0,0.0,410.0,Sides,Milk,Lunch
Annandale High,5/02/2025,20001,1% White Milk (Each),100,0,100,171,59,0,59,$21.24,0,0.00%,$0.00,$21.24,112,65.50%,$40.32,$61.56,110.0,3.0,2.0,10.0,125.0,13.0,0.0,12.0,0.0,8.0,150.0,0.0,3.0,300.0,0.0,410.0,Sides,Milk,Lunch
Annandale High,5/02/2025,20002,Fat Free Chocolate Milk (Each),600,0,600,599,531,13,544,$190.40,2,0.33%,$0.70,$191.10,53,8.85%,$18.55,$209.65,130.0,0.0,0.0,5.0,249.0,22.0,0.0,20.0,8.0,9.0,163.0,0.0,3.0,325.0,0.0,456.0,Sides,Milk,Lunch
Annandale High,5/02/2025,20038,Fat Free White Milk (Each),75,0,75,75,52,0,52,$17.16,0,0.00%,$0.00,$17.16,23,30.67%,$7.59,$24.75,90.0,0.0,0.0,5.0,130.0,13.0,0.0,12.0,0.0,9.0,160.0,0.0,3.0,310.0,0.0,410.0,Sides,Milk,Lunch
Annandale High,5/02/2025,30102,1% Unflavored Shelf-Stable Milk (Each),25,0,25,25,25,0,25,$9.50,0,0.00%,$0.00,$9.50,0,0.00%,$0.00,$9.50,110.0,3.0,2.0,10.0,105.0,12.0,0.0,12.0,0.0,8.0,150.0,0.0,3.0,300.0,0.0,320.0,Sides,Milk,Breakfast
Annandale High,5/05/2025,20001,1% White Milk (Each),100,0,100,150,66,0,66,$23.76,1,0.67%,$0.36,$24.12,83,55.33%,$29.88,$54.00,110.0,3.0,2.0,10.0,125.0,13.0,0.0,12.0,0.0,8.0,150.0,0.0,3.0,300.0,0.0,410.0,Sides,Milk,Lunch
Annandale High,5/05/2025,20002,Fat Free Chocolate Milk (Each),600,0,600,692,570,13,583,$204.05,2,0.29%,$0.70,$204.75,107,15.46%,$37.45,$242.20,130.0,0.0,0.0,5.0,249.0,22.0,0.0,20.0,8.0,9.0,163.0,0.0,3.0,325.0,0.0,456.0,Sides,Milk,Lunch
Annandale High,5/05/2025,20038,Fat Free White Milk (Each),75,0,75,110,33,0,33,$10.89,0,0.00%,$0.00,$10.89,77,70.00%,$25.41,$36.30,90.0,0.0,0.0,5.0,130.0,13.0,0.0,12.0,0.0,9.0,160.0,0.0,3.0,310.0,0.0,410.0,Sides,Milk,Lunch
Annandale High,5/06/2025,20001,1% White Milk (Each),100,0,100,145,75,0,75,$27.00,1,0.69%,$0.36,$27.36,69,47.59%,$24.84,$52.20,110.0,3.0,2.0,10.0,125.0,13.0,0.0,12.0,0.0,8.0,150.0,0.0,3.0,300.0,0.0,410.0,Sides,Milk,Lunch
Annandale High,5/06/2025,20002,Fat Free Chocolate Milk (Each),650,0,650,608,572,13,585,$204.75,3,0.49%,$1.05,$205.80,20,3.29%,$7.00,$212.80,130.0,0.0,0.0,5.0,249.0,22.0,0.0,20.0,8.0,9.0,163.0,0.0,3.0,325.0,0.0,456.0,Sides,Milk,Lunch
Annandale High,5/06/2025,20038,Fat Free White Milk (Each),75,0,75,125,38,0,38,$12.54,0,0.00%,$0.00,$12.54,87,69.60%,$28.71,$41.25,90.0,0.0,0.0,5.0,130.0,13.0,0.0,12.0,0.0,9.0,160.0,0.0,3.0,310.0,0.0,410.0,Sides,Milk,Lunch
Annandale High,5/07/2025,20001,1% White Milk (Each),100,0,100,190,65,0,65,$23.40,0,0.00%,$0.00,$23.40,125,65.79%,$45.00,$68.40,110.0,3.0,2.0,10.0,125.0,13.0,0.0,12.0,0.0,8.0,150.0,0.0,3.0,300.0,0.0,410.0,Sides,Milk,Lunch
