School_Name,Date,Identifier,Name,Planned,Offered,Served,Discarded,Subtotal,Left Over,Production Cost,Reimbursable,Non-Reimbursable,Total,Reimbursable.1,Non-Reimbursable.1,Total.1,Cost,Total.2,Percent of Offered,Cost.1,Total.3,Percent of Offered.1,Cost.2
Fairview Elementary,5/28/2025,20001,1% White Milk(Each),12,0,12,10,7,1,8,$2.88,0,0.00%,$0.00,$2.88,2,20.00%,$0.72,$3.60,,,,
Fairview Elementary,5/28/2025,20008,Apple Slices(3 slices per 1/4 cup),0,0,0,8,2,0,2,$1.18,0,0.00%,$0.00,$1.18,6,75.00%,$3.54,$4.72,,,,
Fairview Elementary,5/28/2025,20009,Cream Cheese(Each),0,0,0,32,12,8,20,$5.80,0,0.00%,$0.00,$5.80,12,37.50%,$3.48,$9.28,,,,
Fairview Elementary,5/28/2025,20016,String Cheese(1 Stick),12,0,12,15,6,2,8,$1.76,0,0.00%,$0.00,$1.76,7,46.67%,$1.54,$3.30,,,,
Fairview Elementary,5/28/2025,20038,Fat Free White Milk(Each),12,0,12,10,1,0,1,$0.33,0,0.00%,$0.00,$0.33,9,90.00%,$2.97,$3.30,,,,
Fairview Elementary,5/28/2025,30003,Honey Cheerios Cereal(Each),12,0,12,8,8,0,8,$4.72,0,0.00%,$0.00,$4.72,0,0.00%,$0.00,$4.72,,,,
Fairview Elementary,5/28/2025,30004,Blueberry Chex Cereal(Each),12,0,12,10,9,1,10,$5.90,0,0.00%,$0.00,$5.90,0,0.00%,$0.00,$5.90,,,,
Fairview Elementary,5/28/2025,30007,"Cinnamon Toast Crunch Cereal, 25% Less Sugar(Each)",12,0,12,8,8,0,8,$4.72,0,0.00%,$0.00,$4.72,0,0.00%,$0.00,$4.72,,,,
Fairview Elementary,5/28/2025,30009,Orange Tangerine Juice(Each),60,0,60,135,95,30,125,$21.25,0,0.00%,$0.00,$21.25,10,7.41%,$1.70,$22.95,,,,
Fairview Elementary,5/28/2025,30051,Natural Grape Jam(Packet),0,0,0,30,25,0,25,$2.25,0,0.00%,$0.00,$2.25,5,16.67%,$0.45,$2.70,,,,
Fairview Elementary,5/28/2025,30097,Bottled Water(Bottle),0,0,0,2,0,2,2,$0.00,0,0.00%,$0.00,$0.00,0,0.00%,$0.00,$0.00,,,,
Fairview Elementary,5/28/2025,60096,Strawberry Parfait(Parfait),0,0,0,2,2,0,2,$1.98,0,0.00%,$0.00,$1.98,0,0.00%,$0.00,$1.98,,,,
Fairview Elementary,5/28/2025,60162,Chicken & Biscuit Sandwich(Sandwich),50,0,50,12,7,2,9,$4.77,0,0.00%,$0.00,$4.77,3,25.00%,$1.59,$6.36,,,,
Fairview Elementary,5/29/2025,10020,Bagel(Bagel),0,0,0,18,14,4,18,$5.76,0,0.00%,$0.00,$5.76,0,0.00%,$0.00,$5.76,,,,
Fairview Elementary,5/29/2025,10041,Mini Maple Pancakes(Package),81,0,81,96,76,9,85,$33.15,0,0.00%,$0.00,$33.15,11,11.46%,$4.29,$37.44,,,,
Fairview Elementary,5/29/2025,20001,1% White Milk(Each),12,0,12,12,12,0,12,$4.32,0,0.00%,$0.00,$4.32,0,0.00%,$0.00,$4.32,,,,
Fairview Elementary,5/29/2025,20009,Cream Cheese(Each),0,0,0,12,8,4,12,$3.48,0,0.00%,$0.00,$3.48,0,0.00%,$0.00,$3.48,,,,
Fairview Elementary,5/29/2025,20031,Banana(Each),5,0,5,10,5,0,5,$1.05,0,0.00%,$0.00,$1.05,5,50.00%,$1.05,$2.10,,,,
Fairview Elementary,5/29/2025,20038,Fat Free White Milk(Each),12,0,12,12,2,0,2,$0.66,0,0.00%,$0.00,$0.66,10,83.33%,$3.30,$3.96,,,,
Fairview Elementary,5/29/2025,30004,Blueberry Chex Cereal(Each),9,0,9,8,8,0,8,$4.72,0,0.00%,$0.00,$4.72,0,0.00%,$0.00,$4.72,,,,
Fairview Elementary,5/29/2025,30006,Cinnamon Chex Cereal(Each),10,0,10,8,7,0,7,$4.13,0,0.00%,$0.00,$4.13,1,12.50%,$0.59,$4.72,,,,
Fairview Elementary,5/29/2025,30007,"Cinnamon Toast Crunch Cereal, 25% Less Sugar(Each)",14,0,14,8,8,0,8,$4.72,0,0.00%,$0.00,$4.72,0,0.00%,$0.00,$4.72,,,,
Fairview Elementary,5/29/2025,30009,Orange Tangerine Juice(Each),64,0,64,143,115,28,143,$24.31,0,0.00%,$0.00,$24.31,0,0.00%,$0.00,$24.31,,,,
Fairview Elementary,5/29/2025,30051,Natural Grape Jam(Packet),0,0,0,10,4,0,4,$0.36,0,0.00%,$0.00,$0.36,6,60.00%,$0.54,$0.90,,,,
