identifier,name,unit_cost
60081,"Penne Pasta with Marinara and Beef Meatballs (1/2 cup cooked pasta, 1/2c sauce, 5 meatballs)",1.17
60076,"Penne Pasta with Marinara and Beef Meatballs(cup cooked pasta, 1/2c sauce, 5 meatballs)",1.25
60081,"Penne Pasta with Marinara and Beef Meatballs (cup cooked pasta, 1/2c sauce, 5 meatballs)",1.25
20041,"Peppers, Green, Whole (1/2 cup)",0.25
20041,"Peppers, Green, Whole (1/4 cup)",0.12
20041,"Peppers, Green, Whole (2 Tablespoon)",0.06
20042,"Peppers, Red, Whole (1/4 cup)",0.09
20042,"Peppers, Red, Whole (2 Tablespoons)",0.05
20076,"Peppers, green, pre-sliced (1/2 cup sliced)",0.3
20076,"Peppers, green, pre-sliced (1/4 cup sliced)",0.15
20077,"Peppers, red, pre-sliced (1/2 cup sliced)",0.56
20077,"Peppers, red, pre-sliced (1/4 cup sliced)",0.28
60049,Pineapple Parfait (Parfait),0.95
60119,Pineapple Pepper Fruit Salsa (1 TBSP),0.13
60171,"Pizza, Turkey Pepperoni, Slice (Slice)",0.93
20019,"Plums, Red, Whole (Each)",0.02
10039,Potato Encrusted Breaded Pollock (Fillet),0.66
10088,Potato Wedges (4 pieces),0.1
10088,Potato Wedges (7 pieces),0.21
60161,Potstickers (6 Potstickers),0.08
30152,Powerade Fruit Punch Zero (Each),0.69
30150,Powerade Mixed Berry Zero (Each),0.69
60153,Pumpkin Bread (1 square),0.41
60145,"Quesadilla, Cheese and Taco Meat (Quesadilla)",0.78
60130,"Quesadilla, Cheese w/ 6 Inch Tortillas (Quesadilla)",0.69
60129,"Quesadilla, Chicken & Cheese (Shred Chicken) 6 in Tortilla (Quesadilla)",0.88
60020,"Quesadilla, Turkey Barbacoa and Cheese (Quesadilla)",1.22
30119,RF Kettle Chips Jalapeno & Cheddar Chips (Each),0.42
30120,RF Kettle Chips Sea Salt & Vinegar Chips (Each),0.41
30107,Ranch Dressing (1 ounce),0.11
30035,Ranch Dressing Packet (Packet),0.23
30043,Raspberry Lemonade Flavored Dried Cranberries (2 Eaches),0.48
30043,Raspberry Lemonade Flavored Dried Cranberries (Each),0.24
20014,Red Delicious Apple (Each - serving),0.33
20018,Red Seedless Grapes (16 grapes per 1/2 cup),0.51
20018,Red Seedless Grapes (2 Tablespoons),0.13
20018,Red Seedless Grapes (24 grapes per 3/4 cup),0.77
20018,Red Seedless Grapes (8 grapes per 1/4 cup),0.26
10067,Roasted Plantains (3 Slices),0.34
10067,Roasted Plantains (6 Slices),0.69
30092,Roasted Sunflower Seeds (Package),0.3
30114,SS Baked Cheetos Flaming Hot (Each),0.42
30115,SS Baked Cheetos Flaming Limon (Each),0.3
30116,SS Cheetos Fantastix Flaming Hot (Each),0.3
30011,"Salsa, Mild Canned (1.5 oz)",0.1
30011,"Salsa, Mild Canned (1/4 cup)",0.13
30011,"Salsa, Mild Canned (2 Tablespoons)",0.07
60164,"Sandwich, Breakfast. Bagel, Turkey Sausage (Sandwich)",0.54
60009,"Sandwich, Turkey & Cheese (sandwich)",0.69
60103,"Sandwich, Turkey & Cheese on Sub Roll (sandwich)",0.91
10009,"Sauce, Alfredo (2oz Ladle (1/4 cup))",0.26
30078,"Sauce, BBQ, HFCS-Free, Bulk, Low-Sodium (2 TBSP)",0.1
60121,"Sauce, Spicy Mayo (tbsp)",0.09
60166,Shredded Chicken Wrap (Wrap),1.09
30109,Smartfood RF White Cheddar Popcorn (Each),0.26
60069,Soft Bean Taco on Flour Tortilla (Taco),0.76
60061,Soft Beef Taco on Flour Tortilla (Taco),0.96
10044,Soft Pretzel (1 pretzel),0.21
20030,Sour Cream (2 Tablespoons),0.15
60072,Spicy Breaded Chicken Patty on Bun (Sandwich),0.75
60075,Spicy Chicken Wrap (Wrap),1.17
30140,Sprite 24/12oz (Each),0
60051,Steamed Baby Carrots (1/2 cup),0.18
60051,Steamed Baby Carrots (1/4 cup),0.09
60054,Steamed Broccoli (1/2 cup),0.15
