school_name,name,total_offered,total_left_over,net_consumption_rate
Beech Tree Elementary,Orange Slices (3 slices per 1/4 cup),173,31,82.08092485549133
Beech Tree Elementary,"Cinnamon Toast Crunch Cereal, 25% Less Sugar (Each)",533,98,81.61350844277673
Beech Tree Elementary,Blueberry Chex Cereal (Each),720,158,78.05555555555556
Beech Tree Elementary,Orange Tangerine Juice (Each),853,226,73.5052754982415
Beech Tree Elementary,Cinnamon Chex Cereal (Each),195,64,67.17948717948717
Beech Tree Elementary,Fat Free White Milk (Each),306,109,64.37908496732027
Beech Tree Elementary,Strawberry Parfait (Parfait),138,60,56.52173913043478
Beech Tree Elementary,Mandarin Orange Parfait (Parfait),202,110,45.54455445544555
Beech Tree Elementary,Natural Grape Jam (Packet),8,5,37.5
Beech Tree Elementary,Chicken & Biscuit Sandwich (Sandwich),10,10,0.0
Beech Tree Elementary,Egg and American Cheese on Biscuit (Sandwich),10,10,0.0
Belle View Elementary,"Apple Slices (3 slices, 1/4 cup)",62,0,100.0
Belle View Elementary,"Bar, Lemon Blueberry (Each)",15,0,100.0
Belle View Elementary,Blueberry Muffin Top (Muffin Top),30,0,100.0
Belle View Elementary,Egg and American Cheese on Biscuit (Sandwich),57,0,100.0
Belle View Elementary,Turkey & Cheese on Biscuit (Sandwich),5,0,100.0
Belle View Elementary,Banana (Each),98,3,96.93877551020408
Belle View Elementary,Golden Delicious Apple (Each),250,11,95.6
Belle View Elementary,Chicken & Biscuit Sandwich (Sandwich),35,2,94.28571428571428
Belle View Elementary,Red Delicious Apple (Each - serving),180,11,93.88888888888889
Belle View Elementary,Apple Juice (Each),1290,94,92.71317829457364
Belle View Elementary,Natural Grape Jam (Packet),80,6,92.5
Belle View Elementary,Blueberry Bread (1oz Grain (1/64 Baked Pan)),158,14,91.13924050632912
Belle View Elementary,Mandarin Orange Parfait (Parfait),31,3,90.32258064516128
Belle View Elementary,Mini Maple Pancakes (Package),385,39,89.87012987012987
Belle View Elementary,"Batter, Pumpkin Bread (1oz Grain (1/64 Baked Pan))",151,16,89.40397350993378
Belle View Elementary,1% Unflavored Shelf-Stable Milk (Each),60,9,85.0
Belle View Elementary,Natural Breakfast Syrup (Each),50,8,84.0
Belle View Elementary,Orange Tangerine Juice (Each),402,75,81.34328358208955
Belle View Elementary,Orange (6 Slices per 1/2 cup),70,15,78.57142857142857
Belle View Elementary,Turkey Sausage Breakfast Biscuit (Sandwich),42,9,78.57142857142857
Belle View Elementary,"Cinnamon Toast Crunch Cereal, 25% Less Sugar (Each)",244,54,77.8688524590164
Belle View Elementary,1% White Milk (Each),511,121,76.32093933463796
Belle View Elementary,Cinnamon Chex Cereal (Each),307,77,74.9185667752443
Belle View Elementary,Strawberry Parfait (Parfait),24,7,70.83333333333334
Belle View Elementary,Bagel (Bagel),20,6,70.0
Belle View Elementary,Honey Cheerios Cereal (Each),180,64,64.44444444444444
Belle View Elementary,Blueberry Chex Cereal (Each),214,83,61.21495327102804
